Name,Field,Size (Bits),Cell Type,CSD-slice
CSD structure,CSD_STRUCTURE,2,R,[127:126]
System specification version,SPEC_VERS,4,R,[125:122]
Reserved,-,2,R,[121:120]
Data read access-time 1,TAAC,8,R,[119:112]
Data read access-time 2 in CLK cycles (NSAC*100),NSAC,8,R,[111:104]
Max. bus clock frequency,TRAN_SPEED,8,R,[103:96]
Device command classes,CCC,12,R,[95:84]
Max. read data block length,READ_BL_LEN,4,R,[83:80]
Partial blocks for read allowed,READ_BL_PARTIAL,1,R,[79:79]
Write block misalignment,WRITE_BLK_MISALIGN,1,R,[78:78]
Read block misalignment,READ_BLK_MISALIGN,1,R,[77:77]
DSR implemented,DSR_IMP,1,R,[76:76]
Reserved,-,2,R,[75:74]
Device size,C_SIZE,12,R,[73:62]
Max. read current @ VDD min,VDD_R_CURR_MIN,3,R,[61:59]
Max. read current @ VDD max,VDD_R_CURR_MAX,3,R,[58:56]
Max. write current @ VDD min,VDD_W_CURR_MIN,3,R,[55:53]
Max. write current @ VDD max,VDD_W_CURR_MAX,3,R,[52:50]
Device size multiplier,C_SIZE_MULT,3,R,[49:47]
Erase group size,ERASE_GRP_SIZE,5,R,[46:42]
Erase group size multiplier,ERASE_GRP_MULT,5,R,[41:37]
Write protect group size,WP_GRP_SIZE,5,R,[36:32]
Write protect group enable,WP_GRP_ENABLE,1,R,[31:31]
Manufacturer default ECC,DEFAULT_ECC,2,R,[30:29]
Write speed factor,R2W_FACTOR,3,R,[28:26]
Max. write data block length,WRITE_BL_LEN,4,R,[25:22]
Partial blocks for write allowed,WRITE_BL_PARTIAL,1,R,[21:21]
Reserved,-,4,R,[20:17]
Content protection application,CONTENT_PROT_APP,1,R,[16:16]
File format group,FILE_FORMAT_GRP,1,R/W,[15:15]
Copy flag (OTP),COPY,1,R/W,[14:14]
Permanent write protection,PERM_WRITE_PROTECT,1,R/W,[13:13]
Temporary write protection,TMP_WRITE_PROTECT,1,R/W/E,[12:12]
File format,FILE_FORMAT,2,R/W,[11:10]
ECC code,ECC,2,R/W/E,[9:8]
CRC,CRC,7,R/W/E,[7:1]
Not used  always?1?,-,1,?,[0:0]
